,x,left1,left2,right
0,0.01,1.304384490898034,-1.5493892749813323,-0.09350391009485806
1,0.0198989898989899,0.9945324474550109,-1.1574717911335437,-0.19314330255653614
2,0.029797979797979796,0.8496500863014769,-0.9684638972116343,-0.29165764486950296
3,0.039696969696969696,0.7606650147475597,-0.8487819104963261,-0.3870446180264704
4,0.049595959595959596,0.6987436524302812,-0.7629199864524392,-0.47832963071785417
5,0.059494949494949496,0.6524139090599839,-0.696679357108791,-0.5649515776865798
6,0.06939393939393938,0.6160624471491729,-0.64307809068654,-0.6465636387378566
7,0.07929292929292929,0.5865665974062858,-0.5982131811776035,-0.7229467737985209
8,0.08919191919191918,0.5620290329026713,-0.5597016244824187,-0.7939654030784096
9,0.09909090909090908,0.5412199432523417,-0.5259912682602235,-0.8595420797796415
10,0.10898989898989898,0.5233017091974806,-0.49601974976888563,-0.9196418370358228
11,0.11888888888888888,0.5076810182333679,-0.46903081378898115,-0.9742619234662316
12,0.12878787878787878,0.49392401737362673,-0.4444686482714943,-1.0234247518878636
13,0.1386868686868687,0.4817049840455724,-0.4219137939795483,-1.0671728699714083
14,0.1485858585858586,0.4707738913538622,-0.40104254019575686,-1.1055652600780923
15,0.15848484848484848,0.46093515093880444,-0.3816002441074343,-1.1386745450984075
16,0.16838383838383839,0.4520332423501505,-0.3633832467607926,-1.1665848309894662
17,0.1782828282828283,0.44394273485477714,-0.34622628370532016,-1.189390008586679
18,0.18818181818181817,0.4365611960740468,-0.32999351442842073,-1.2071923942673706
19,0.19808080808080808,0.4298040482163302,-0.3145719982393458,-1.2201016255933606
20,0.207979797979798,0.42360076889372117,-0.29986686258148737,-1.228233752177033
21,0.21787878787878787,0.4178920394175871,-0.2857976663332947,-1.2317104783362414
22,0.22777777777777777,0.4126275730866625,-0.2722956224279713,-1.2306585253974753
23,0.23767676767676768,0.4077644396063376,-0.2593014486501339,-1.2252090894798513
24,0.24757575757575756,0.4032657569318115,-0.24676368451346936,-1.2154973763227743
25,0.25747474747474747,0.39909965893539356,-0.23463735864792068,-1.2016621989056553
26,0.2673737373737374,0.3952384727193515,-0.22288292304506405,-1.1838456267104593
27,0.2772727272727273,0.3916580571000769,-0.21146539277383916,-1.1621926778083214
28,0.2871717171717172,0.3883372663069036,-0.20035364554267432,-1.1368510467236026
29,0.29707070707070704,0.38525751191285773,-0.18951984680130807,-1.1079708623915425
30,0.30696969696969695,0.382402402531053,-0.17893897430481315,-1.0757044715844606
31,0.31686868686868686,0.37975744559881214,-0.16858842211703662,-1.0402062440119706
32,0.32676767676767676,0.3773097991291803,-0.15844766853437514,-1.001632395957814
33,0.33666666666666667,0.3750480639799984,-0.14849799579494982,-0.9601408298400903
34,0.3465656565656566,0.3729621092147276,-0.13872225200518487,-0.9158909875029183
35,0.3564646464646465,0.3710429246772416,-0.12910464767998503,-0.8690437153883762
36,0.36636363636363634,0.3692824960969703,-0.11963058080793544,-0.8197611400150601
37,0.37626262626262624,0.3676736989695195,-0.11028648553065785,-0.7682065524167833
38,0.38616161616161615,0.3662102081858842,-0.10105970044719009,-0.7145443003818877
39,0.39606060606060606,0.36488642095834684,-0.09193835328020451,-0.6589396874881123
40,0.40595959595959596,0.3636973910486756,-0.082911259215885,-0.6015588780561243
41,0.41585858585858587,0.3626387726710148,-0.0739678306869592,-0.5425688072513776
42,0.4257575757575757,0.3617067727381289,-0.06509799673416125,-0.48213709565277546
43,0.43565656565656563,0.3608981103608899,-0.05629213037460697,-0.42043196768065133
44,0.44555555555555554,0.36020998270898597,-0.04754098264097926,-0.3576221733382565
45,0.45545454545454545,0.35964003650504434,-0.03883562214439742,-0.2938769127721441
46,0.46535353535353535,0.35918634456195947,-0.030167379165120526,-0.22936576319914015
47,0.47525252525252526,0.35884738688996354,-0.021527793395542935,-0.1642586077821604
48,0.4851515151515151,0.35862203600050746,-0.012908564554449881,-0.09872556606496627
49,0.495050505050505,0.35850954612210734,-0.004301505164151167,-0.03293692559779163
50,0.5049494949494949,0.35850954612210734,0.0043015051641511195,0.03293692559779125
51,0.5148484848484849,0.35862203600050746,0.012908564554449881,0.09872556606496627
52,0.5247474747474747,0.35884738688996354,0.021527793395542935,0.1642586077821604
53,0.5346464646464646,0.3591863445619594,0.030167379165120477,0.2293657631991398
54,0.5445454545454546,0.35964003650504434,0.03883562214439742,0.2938769127721441
55,0.5544444444444444,0.36020998270898597,0.04754098264097922,0.3576221733382562
56,0.5643434343434344,0.3608981103608899,0.05629213037460697,0.42043196768065133
57,0.5742424242424242,0.3617067727381289,0.0650979967341612,0.4821370956527751
58,0.5841414141414141,0.36263877267101474,0.07396783068695913,0.5425688072513773
59,0.594040404040404,0.3636973910486756,0.082911259215885,0.6015588780561243
60,0.6039393939393939,0.36488642095834684,0.09193835328020444,0.6589396874881118
61,0.6138383838383838,0.3662102081858842,0.10105970044719009,0.7145443003818877
62,0.6237373737373737,0.36767369896951946,0.11028648553065777,0.7682065524167832
63,0.6336363636363637,0.3692824960969703,0.11963058080793544,0.8197611400150601
64,0.6435353535353535,0.3710429246772416,0.12910464767998503,0.8690437153883762
65,0.6534343434343434,0.3729621092147276,0.13872225200518482,0.9158909875029181
66,0.6633333333333333,0.3750480639799984,0.14849799579494982,0.9601408298400903
67,0.6732323232323232,0.3773097991291803,0.1584476685343751,1.001632395957814
68,0.6831313131313131,0.37975744559881214,0.16858842211703662,1.0402062440119706
69,0.693030303030303,0.382402402531053,0.1789389743048131,1.0757044715844601
70,0.702929292929293,0.38525751191285773,0.18951984680130807,1.1079708623915425
71,0.7128282828282828,0.3883372663069036,0.20035364554267432,1.1368510467236026
72,0.7227272727272727,0.39165805710007684,0.21146539277383905,1.1621926778083216
73,0.7326262626262626,0.3952384727193515,0.22288292304506405,1.1838456267104593
74,0.7425252525252525,0.39909965893539356,0.23463735864792062,1.201662198905655
75,0.7524242424242424,0.4032657569318115,0.24676368451346936,1.2154973763227743
76,0.7623232323232323,0.4077644396063376,0.2593014486501339,1.2252090894798515
77,0.7722222222222221,0.4126275730866625,0.2722956224279712,1.2306585253974753
